Timestamp,Shift,Heat Number,Casting Speed,Mold Level,Downtime,Production,Temperature,Water Flow,Hydraulic Pressure,Alarm,Alarm Severity,Downtime Category,Machine Status,PLC_Status,Mold_Status,Oscillation_Status,Hydraulic_Status,Water_Cooling_Status,Shear_Status,Roller_Table_Status
2026-01-01 07:40:00,Morning,10054,1.2396717855385087,81.46496890155595,11.0,14.865173498752892,1520.4481860279864,1925.2722410000213,123.07994437650319,Water Flow Alarm,Critical,Process,Stopped,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 07:50:00,Morning,10058,1.2421870972201963,80.99473571762584,0.0,16.630313029771916,1517.2677595788398,1923.6805244701122,126.19273586083769,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 08:00:00,Morning,10767,1.2261852972952048,81.18782380633743,0.0,14.135371187864742,1518.068539573206,1928.554772460389,126.50824113284128,No Alarm,None,None,Running,Warning,Healthy,Healthy,Healthy,Healthy,Healthy,Warning
2026-01-01 08:10:00,Morning,10718,1.2631436828352276,81.03986440559441,0.0,14.780350475626507,1518.6828797118249,1930.1689130651282,125.83772054806256,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 08:20:00,Morning,10896,1.2482290254051696,80.31848413491296,0.0,16.37984156773861,1515.521921843676,1933.5428851639429,124.8715500236583,No Alarm,None,None,Running,Healthy,Healthy,Warning,Healthy,Healthy,Healthy,Healthy
2026-01-01 08:30:00,Morning,10701,1.2130424484970272,80.87227321829424,0.0,16.112764816437615,1522.607506315695,1914.7989397204174,124.80971631459717,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 08:40:00,Morning,10596,1.2542271540785541,80.73365938005281,12.0,15.156351368873977,1523.7178327626527,1950.0708192484637,127.2285601761453,Hydraulic Pressure Drop,High,Process,Stopped,Healthy,Healthy,Healthy,Healthy,Warning,Warning,Healthy
2026-01-01 08:50:00,Morning,10117,1.2184540894972058,80.58230476838129,0.0,14.788216042748834,1519.2568828667129,1935.0548679556189,124.13652163891972,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 09:00:00,Morning,10766,1.2773300272161656,81.01809889018685,0.0,16.397990117789387,1522.1371228168819,1941.926544394265,127.12045033825218,No Alarm,None,None,Running,Healthy,Healthy,Warning,Healthy,Healthy,Healthy,Healthy
2026-01-01 09:10:00,Morning,10231,1.2529231157321017,82.02986439089698,0.0,14.032569088789554,1520.8434728517418,1927.1395072034431,125.47956153516796,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 09:20:00,Morning,10107,1.251997193217237,81.4753374695459,0.0,14.347129336061572,1522.5524527836658,1935.1095139645383,125.34078316138266,No Alarm,None,None,Running,Healthy,Healthy,Warning,Healthy,Healthy,Healthy,Healthy
2026-01-01 09:30:00,Morning,10733,1.2399055111783321,81.99220442523938,0.0,15.302305509133655,1520.3704427017246,1934.039462268975,123.12955095339726,No Alarm,None,None,Running,Warning,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 09:40:00,Morning,10589,1.2994595234572237,81.6129950113966,0.0,17.328167439505684,1519.9210959902723,1951.5411262734708,124.67491846676323,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Warning,Healthy,Healthy,Healthy
2026-01-01 09:50:00,Morning,10150,1.2602492775899012,81.72419465553006,0.0,15.448104908157047,1524.9322987371436,1935.285424910485,125.21053389227397,No Alarm,None,None,Running,Warning,Warning,Healthy,Warning,Healthy,Healthy,Warning
2026-01-01 10:00:00,Morning,10550,1.253782713498704,81.00358734211669,13.0,15.742939672948408,1522.2966362249267,1946.047584017181,122.44908697788452,Mold Level Low,Medium,Electrical,Stopped,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 10:10:00,Morning,10691,1.2574560433372302,81.51683516883897,0.0,16.511853032510185,1527.6471493319784,1934.612954688685,124.18919590532595,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 10:20:00,Morning,10499,1.2850126613721164,81.53297622181869,0.0,17.537477580446158,1522.824240395323,1935.8518450980937,123.19982293534362,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 10:30:00,Morning,10718,1.2806627203234089,80.93645087843841,0.0,15.604490072838793,1520.490591761737,1936.9895039135224,121.7917725448042,No Alarm,None,None,Running,Fault,Healthy,Warning,Healthy,Healthy,Healthy,Healthy
2026-01-01 10:40:00,Morning,10505,1.2823680417511718,81.30844497085396,0.0,16.01781481527625,1525.9509500309975,1948.532710514009,123.035536604725,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 10:50:00,Morning,10354,1.2828271263871585,81.22109516658269,0.0,17.31077773477947,1524.5187043386659,1922.2811823557975,118.79278785250963,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Warning,Healthy,Healthy
2026-01-01 11:00:00,Morning,10224,1.3336983829563256,80.6778871677039,9.0,15.605690294320068,1524.7971420520737,1925.8465886308318,121.26273694685165,Hydraulic Pressure Drop,High,Process,Stopped,Healthy,Healthy,Healthy,Healthy,Warning,Healthy,Healthy
2026-01-01 11:10:00,Morning,10259,1.2564343882706577,80.34545851826927,0.0,16.424736602770896,1525.9747718106846,1919.603756179184,122.19280616428769,No Alarm,None,None,Running,Healthy,Warning,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 11:20:00,Morning,10810,1.252071402663754,80.21225760719442,0.0,14.938071660644045,1521.3645980897177,1925.1361735605462,121.37768690635531,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Warning
2026-01-01 11:30:00,Morning,10374,1.2414749766034636,80.60709370484709,0.0,15.590167864515506,1522.6567869551682,1925.8470557432468,119.52129389978673,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 11:40:00,Morning,10717,1.2824594275280652,80.58590464856752,0.0,15.860909510920623,1522.5046939049003,1917.7839922866392,118.10473645648199,No Alarm,None,None,Running,Warning,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 11:50:00,Morning,10360,1.2955894002421684,80.01754098883116,0.0,15.524259382536243,1519.6450212327024,1923.0502532966157,117.13233756600512,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 12:00:00,Morning,10526,1.2556972674894356,80.22231414862024,0.0,15.00804449425715,1522.13180567163,1910.9008113745788,116.98136638754411,No Alarm,None,None,Running,Fault,Healthy,Healthy,Healthy,Healthy,Warning,Healthy
2026-01-01 12:10:00,Morning,10608,1.2309697664546384,80.31555436803431,0.0,15.580612135660608,1526.0311502684945,1916.849671509562,117.47355185205053,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Warning,Healthy,Healthy,Healthy
2026-01-01 12:20:00,Morning,10478,1.2281711791602754,80.20966920717336,0.0,16.04901726921732,1523.1637459609838,1932.4609571286915,115.3601600877924,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 12:30:00,Morning,10744,1.2688370258898563,80.45845934625383,0.0,15.769647481391251,1519.0665244004183,1923.8487594351075,116.7823116265566,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 12:40:00,Morning,10925,1.2677240319788692,80.224940388566,0.0,15.895629610849117,1518.384780885443,1919.7906464428127,118.01897764975642,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Warning,Healthy,Healthy
2026-01-01 12:50:00,Morning,10862,1.257533749277292,79.19205617450373,0.0,16.118993712369882,1526.2608390959376,1907.8582640003972,115.01607745146066,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Warning,Healthy,Healthy,Healthy
2026-01-01 13:00:00,Morning,10922,1.216805014589938,80.14725964228079,0.0,14.529929541265153,1521.6798774075532,1901.1108463338783,113.1572716015785,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 13:10:00,Morning,10030,1.2389985893692144,79.14633884536833,0.0,16.005267123004224,1520.076664812134,1901.745779562217,112.88931068392357,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 13:20:00,Morning,10760,1.2305446423489608,79.66603355209925,0.0,15.955348197303833,1520.7829918183143,1907.9246072364674,115.2222662187168,No Alarm,None,None,Running,Warning,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 13:30:00,Morning,10727,1.2283773151943451,79.16985267230693,0.0,17.177254849054602,1517.53131618931,1912.590214560208,114.06312387925689,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Warning
2026-01-01 13:40:00,Morning,10413,1.242510510503501,78.87832218434193,0.0,15.268108447902055,1524.523379571193,1910.2131754192797,115.09005105347607,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Warning
2026-01-01 13:50:00,Morning,10315,1.2174217177630584,78.22726783119657,0.0,14.89711421087054,1519.7091544783616,1905.375267953999,113.36009935562417,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Warning,Healthy,Warning,Healthy
2026-01-01 14:00:00,Evening,10054,1.2252401220884541,78.79617045295157,0.0,15.853777636207298,1523.8222092637554,1891.7645793503532,115.01976060403275,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 14:10:00,Evening,10839,1.2008896345006053,78.16337144310023,0.0,15.584493349496064,1520.2312469031942,1895.206471913396,113.91532531611433,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 14:20:00,Evening,10841,1.2013746209288274,79.10479078347885,0.0,14.642621754246644,1523.3616070892529,1889.8065412446826,113.36744948563243,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 14:30:00,Evening,10076,1.2053467028592988,79.26423302551282,0.0,14.7846199118902,1520.103205986739,1888.1688378109689,113.96391373147074,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 14:40:00,Evening,10583,1.1362880569599334,78.28771385237518,0.0,14.582392298751795,1521.2570926317444,1903.5218662345417,113.2628068391712,No Alarm,None,None,Running,Healthy,Healthy,Warning,Healthy,Healthy,Healthy,Healthy
2026-01-01 14:50:00,Evening,10552,1.163914693327711,78.68590046597134,0.0,13.969624698082123,1520.57397694554,1870.6320857521148,117.39362681695452,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 15:00:00,Evening,10173,1.1528232213384002,78.24354821469916,0.0,14.122916475119492,1519.9772667075006,1880.4217677408278,115.2477548983939,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 15:10:00,Evening,10549,1.1411453834406766,78.26108030003113,0.0,14.327032230166363,1518.9231241293755,1889.6429093140355,116.54017495299628,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 15:20:00,Evening,10812,1.1454029511640378,78.81136550589925,0.0,15.014693968926053,1517.0977784109582,1865.9606048032006,115.56815721332111,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Warning,Healthy,Healthy,Healthy
2026-01-01 15:30:00,Evening,10327,1.1918396730416116,78.48564551179958,0.0,14.474776881694467,1522.0884108276725,1870.3757049601613,115.43357335803837,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 15:40:00,Evening,10726,1.1143599985479151,79.20681650287217,0.0,12.63983085842747,1514.646652170972,1869.240058435769,116.93173031041593,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Warning
2026-01-01 15:50:00,Evening,10971,1.1627566037556685,78.33829535583986,0.0,13.192839319683108,1516.5341502847461,1869.7505876271844,119.07817105107361,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Warning,Healthy,Healthy,Healthy
2026-01-01 16:00:00,Evening,10455,1.0766457513064676,78.96134812099508,15.0,12.57648274463655,1516.166174752498,1856.9602429108331,117.69862886112851,Roller Jam,Medium,Mechanical,Stopped,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 16:10:00,Evening,10107,1.1105794474677653,78.64098720918595,0.0,12.96302569060711,1516.7378190212182,1872.8156762970511,117.86238660709213,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Warning,Healthy,Healthy,Healthy
2026-01-01 16:20:00,Evening,10298,1.1190933814161208,78.9704438686766,0.0,13.880439736667574,1514.2589636847301,1871.8511060649375,119.68802067633798,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 16:30:00,Evening,10137,1.1254926826180238,78.53273519692813,0.0,13.236442425206974,1515.7196077850367,1869.2039717036,120.69971052376738,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 16:40:00,Evening,10353,1.1230679195871385,78.760182377628,0.0,13.546420522964388,1514.110900389572,1856.9450304325328,122.67071303172678,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 16:50:00,Evening,10645,1.1195055884699299,78.8106812931319,0.0,13.451959736386689,1510.1795576301643,1863.5315062754678,121.71522050257389,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Warning,Healthy,Healthy
2026-01-01 17:00:00,Evening,10203,1.0793850020019455,78.60726666570609,0.0,13.183957022430723,1513.761915162496,1854.7403951278666,122.64203939531775,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 17:10:00,Evening,10515,1.0703033935643982,79.29867591853329,7.0,14.304545451621165,1510.5933708940374,1858.540751907877,123.29222980800398,Roller Jam,Medium,Process,Stopped,Healthy,Warning,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 17:20:00,Evening,10999,1.1044435315367038,79.39280223961488,0.0,14.268907456810158,1508.6197067776632,1877.8672505705088,121.58106164851249,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 17:30:00,Evening,10265,1.0677154251115293,79.47500326171333,0.0,13.35773340458732,1512.9138512000561,1861.0179228754314,122.31464010176575,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Warning
2026-01-01 17:40:00,Evening,10880,1.0301704555327327,79.96253790212944,0.0,12.554412297752572,1513.413442533532,1850.5415907081856,122.64124404478595,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 17:50:00,Evening,10305,1.0296805796192257,80.0421866997311,0.0,12.567744385604206,1513.1395597669737,1861.4514557230116,122.77523933392527,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Warning,Warning
2026-01-01 18:00:00,Evening,10615,1.0316001319830002,79.43089887676196,0.0,13.124424178753868,1512.8777632211904,1849.3390482380598,125.7165590329394,No Alarm,None,None,Running,Healthy,Healthy,Warning,Healthy,Healthy,Healthy,Healthy
2026-01-01 18:10:00,Evening,10158,1.0698832525433744,79.85143454767409,0.0,13.782459008138783,1506.2742342584029,1850.883005504403,125.4506798337679,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 18:20:00,Evening,10269,1.0553191638453585,79.57617697670638,0.0,12.556157293796561,1507.3587685529635,1852.6433777756358,125.4876438505795,No Alarm,None,None,Running,Warning,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 18:30:00,Evening,10868,1.0681442477533722,79.95957330162447,6.0,13.377339625847116,1515.3613130420954,1858.088553395909,122.51674004216571,Hydraulic Pressure Drop,Low,Electrical,Stopped,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Warning
2026-01-01 18:40:00,Evening,10590,1.031311896733814,79.83529073517572,0.0,11.469265011108556,1507.4871149722655,1869.9798594253493,128.27409026253127,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 18:50:00,Evening,10570,1.045912132690154,80.84765612387322,0.0,13.222101307546342,1511.3221014813205,1868.119047046699,124.85588299827774,No Alarm,None,None,Running,Healthy,Warning,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 19:00:00,Evening,10511,1.0572859716665286,80.4681592422689,0.0,13.749579115202687,1507.7805266723635,1868.8457763971726,128.45343537937438,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 19:10:00,Evening,10245,1.026944172501777,80.35628077607197,0.0,12.640754117455598,1509.413676855477,1857.1973699993234,124.25455827425705,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Warning,Healthy
2026-01-01 19:20:00,Evening,10930,1.047985203095269,81.03867427459939,0.0,14.371383935988936,1507.3624445318526,1863.1363094938117,124.96126808947245,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 19:30:00,Evening,10394,1.0128386076481888,79.80681994675277,0.0,12.043615682397125,1510.0956508511397,1871.265429352826,123.17591960605897,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 19:40:00,Evening,10012,1.0205811654767944,79.9785790907484,0.0,12.909472859172213,1508.7957184047764,1865.8227862543854,126.07893331120987,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 19:50:00,Evening,10907,1.0191627697166963,81.20626678656546,0.0,12.714457298792535,1507.1114059572858,1870.51185073892,124.09152281756428,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 20:00:00,Evening,10047,0.9942502205805774,81.00966727732514,0.0,12.357919390046833,1505.4019635214895,1878.2802040253466,123.83999326361166,No Alarm,None,None,Running,Fault,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 20:10:00,Evening,10887,1.0446149759355223,81.17636734088585,13.0,12.977661681590707,1508.5095206279027,1874.0818888806173,123.14390561513167,Water Flow Alarm,Critical,Mechanical,Stopped,Fault,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 20:20:00,Evening,10267,1.0161743800885845,80.62887009264031,0.0,12.777153272113937,1504.6388755083979,1880.90603562167,125.33920866253011,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 20:30:00,Evening,10070,1.0312514064498122,81.22532783417711,5.0,13.484213701047242,1508.5882819848346,1894.157740471606,124.83157176237415,Hydraulic Pressure Drop,Low,Process,Stopped,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 20:40:00,Evening,10221,1.046286685561823,82.10264906858875,0.0,14.042998934915108,1513.9533956814762,1882.441961702598,125.6839438266451,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 20:50:00,Evening,10655,1.0466124466137852,81.68851794073498,0.0,13.081080411519405,1510.6492406431898,1895.7243523989698,122.18327719345974,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 21:00:00,Evening,10546,1.054890640309607,81.47488258321924,0.0,13.756854254390232,1508.9756287759149,1893.2983406105018,122.7352941567067,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 21:10:00,Evening,10153,1.0340421640138378,81.26977509348276,0.0,12.434290187786225,1506.891230887621,1879.6688297463193,120.36738793721378,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 21:20:00,Evening,10301,1.0267141065292507,81.3159325397318,0.0,13.370095148523996,1502.2035904034235,1885.2112330915995,120.93529265731911,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 21:30:00,Evening,10211,1.0397790668551203,80.64021901298676,0.0,12.463844269010112,1503.7098485001784,1890.007656822741,120.12411216510495,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 21:40:00,Evening,10654,0.994640858615108,81.6027364154898,0.0,13.196472687950543,1510.207596079744,1892.5006050927232,120.70599250171466,No Alarm,None,None,Running,Warning,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 21:50:00,Evening,10865,1.0052609816289473,81.8352471482917,0.0,14.113210884537109,1505.031267487885,1901.2827624264326,120.76951944493098,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 22:00:00,Night,10256,1.0127194846412582,80.85378963906682,0.0,12.573534836435753,1505.2825528839032,1909.5791205786743,120.14331934165992,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Warning,Healthy
2026-01-01 22:10:00,Night,10896,1.026510341032404,81.19615422561242,0.0,11.296598819339863,1506.6615015230564,1917.339411140635,117.35806151487321,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Warning
2026-01-01 22:20:00,Night,10409,1.0727369744911956,80.96428071548114,0.0,13.02556112786857,1504.4852634518888,1912.3672959467037,118.99928671003603,No Alarm,None,None,Running,Warning,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 22:30:00,Night,10083,1.038170789270751,80.99776583743551,0.0,13.8394474598869,1504.1578536084062,1908.8962180921094,117.20188247281871,No Alarm,None,None,Running,Warning,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 22:40:00,Night,10323,1.0588429415813596,81.3523338128708,6.0,13.622690520684666,1507.2024206207413,1898.3081192738098,116.34635705958736,Roller Jam,Medium,Process,Stopped,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 22:50:00,Night,10874,1.114263594950583,80.43497784748641,0.0,14.102534455954808,1505.2227870142326,1917.9686693659999,115.39936232246001,No Alarm,None,None,Running,Fault,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 23:00:00,Night,10809,1.0699282918588402,81.44343884427806,0.0,14.08017149740389,1505.7409360919307,1919.9706955951042,115.12882892120489,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 23:10:00,Night,10729,1.108285235441897,81.41995189456917,0.0,14.192682850497608,1505.8008893028828,1923.5007355125963,117.48466175685398,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 23:20:00,Night,10399,1.0638917824634586,80.93088578745483,0.0,14.151054912009029,1509.238263288825,1941.0620919947476,115.40193410527891,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Warning,Healthy
2026-01-01 23:30:00,Night,10776,1.0916570045089617,79.94480252663746,0.0,14.28930913001491,1507.5482098263487,1936.2042363182961,114.93135965717143,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Warning
2026-01-01 23:40:00,Night,10711,1.0754002955387472,80.43777381207363,0.0,14.50769401115021,1507.8954305424743,1934.5104912648007,114.14865124007882,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-01 23:50:00,Night,10792,1.099953035255319,81.22295280281516,0.0,14.000570199425866,1510.0642034964549,1922.3585066264523,117.19536423610451,No Alarm,None,None,Running,Healthy,Healthy,Warning,Healthy,Healthy,Healthy,Healthy
2026-01-02 00:00:00,Night,10558,1.1416793843398507,79.5069800155712,0.0,14.904673885293903,1508.4627850789698,1927.6427565603922,115.68039520621676,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-02 00:10:00,Night,10508,1.071100100811361,80.36326364452849,0.0,13.173762308981962,1508.3837470949459,1932.5385043265755,113.16210794240318,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
2026-01-02 00:20:00,Night,10967,1.1424855557406677,79.91088199060788,0.0,13.860046878667042,1510.5318032843625,1928.4966177926694,113.67172069505023,No Alarm,None,None,Running,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
