Timestamp,Shift,Heat_Number,Strand,Steel_Grade,Casting_Speed_m_min,Target_Speed_m_min,Mold_Level_mm,Mold_Level_Deviation_mm,Steel_Temperature_C,Tundish_Temperature_C,Water_Flow_L_min,Hydraulic_Pressure_bar,Oscillation_Frequency_cpm,Slab_Width_mm,Slab_Thickness_mm,Slab_Length_m,Production_Ton,Downtime_min,Downtime_Reason,Alarm_Name,Alarm_Severity,Machine_Status,PLC_Status,Breakout_Risk_pct,Availability_pct,Yield_pct,OEE_pct
2026-07-01 00:10:00,Night,HT2026070100011,1,E350,3.9,4.3,70.85,1.28,1556.8,1535.3,1572,155.2,240,1500,230,8.65,26.05,29,Hydraulic,Speed Drop,Low,Maintenance,Healthy,41,96.73,95.55,80.63
2026-07-01 00:11:00,Night,HT2026070100012,1,API X60,4.08,4.3,72.76,-1.6,1554.6,1544.1,1452,186.7,226,900,250,8.53,22.27,0,None,None,None,Running,Fault,98,95.39,97.12,93.38
2026-07-01 00:12:00,Night,HT2026070100013,2,SAE1008,4.26,4.3,71.85,1.34,1546.8,1548.7,1124,159.9,224,1500,230,9.78,33.93,0,None,None,None,Running,Warning,98,94.46,97.58,82.69
2026-07-01 00:13:00,Night,HT2026070100014,2,IS2062,3.87,4.3,74.85,1.27,1557,1551.1,1533,161.8,237,1300,200,8.56,27.77,0,None,None,None,Running,Warning,76,95.04,97.22,87.44
2026-07-01 00:14:00,Night,HT2026070100015,1,E350,4.2,4.3,73.24,-1.87,1550.6,1537.4,1434,179.8,219,1500,250,8.62,23.53,0,None,None,None,Running,Warning,9,93.42,98.1,93.95
2026-07-01 00:15:00,Night,HT2026070100016,2,IS2062,4.35,4.3,69.23,-0.55,1553.8,1545.3,1398,189.9,203,1100,250,10.01,27.87,0,None,None,None,Running,Healthy,0,93.24,95.04,93.01
2026-07-01 00:16:00,Night,HT2026070100017,1,E250,3.94,4.3,73.32,-1.71,1563.1,1553.1,1459,182.3,231,900,220,8.54,28.14,0,None,None,None,Running,Fault,1,93.98,95.65,83.97
2026-07-01 00:17:00,Night,HT2026070100018,2,E350,4.21,4.3,73.22,-1.44,1561.4,1549.8,1245,177.3,227,900,230,8.14,31.08,0,None,None,None,Running,Healthy,49,92.89,96.84,82.05
2026-07-01 00:18:00,Night,HT2026070100019,1,IS2062,5.08,4.3,68.84,-0.36,1556.1,1538.1,1496,186.1,193,1600,230,10.78,18.29,0,None,None,None,Running,Warning,78,93.85,98.69,88.04
2026-07-01 00:19:00,Night,HT2026070100020,2,E250,4.27,4.3,70.2,0.63,1547.2,1547.5,1105,187.5,199,1600,220,10.22,33.46,0,None,None,None,Running,Healthy,97,90.34,95.39,80.14
2026-07-01 00:20:00,Night,HT2026070100021,1,E250,4.2,4.3,68.1,-0.56,1553.4,1540,1170,162.5,193,1100,230,10.06,33.83,0,None,None,None,Running,Warning,12,95.2,95.31,86.83
2026-07-01 00:21:00,Night,HT2026070100022,1,E350,5.08,4.3,71.22,1.65,1564.7,1546.1,1508,180.7,238,1100,250,10.52,24.57,0,None,None,None,Running,Fault,9,93.89,95.53,88.42
2026-07-01 00:22:00,Night,HT2026070100023,2,E250,4.76,4.3,74.6,-0.13,1547.7,1548.7,1008,157.8,196,1500,200,9.34,22.78,0,None,None,None,Running,Healthy,17,92.21,96.78,82.17
2026-07-01 00:23:00,Night,HT2026070100024,2,IS2062,5.1,4.3,70.32,-0.44,1560.8,1553.7,954,182.5,191,900,220,11.96,30.23,0,None,None,None,Running,Warning,39,96.58,96.2,87.6
2026-07-01 00:24:00,Night,HT2026070100025,2,API X60,4,4.3,70.68,0.95,1545.5,1550.7,1034,189.4,224,1600,220,11.15,23.56,0,None,None,None,Running,Healthy,14,99.15,96.38,84.83
2026-07-01 00:25:00,Night,HT2026070100026,2,E350,4.83,4.3,70.51,0.95,1556.1,1554.6,1498,180.5,215,1300,230,8.64,21.83,0,None,None,None,Running,Warning,80,90.49,98.26,93.66
2026-07-01 00:26:00,Night,HT2026070100027,2,E350,4.47,4.3,71.07,1.73,1559.5,1538.6,900,172.7,226,900,250,8.91,23.96,0,None,None,None,Running,Warning,81,94.17,95.64,82.23
2026-07-01 00:27:00,Night,HT2026070100028,2,API X60,4.53,4.3,71.04,0.55,1561,1546.2,1008,177.4,232,900,250,9.59,24.2,0,None,None,None,Running,Warning,47,96.08,97.17,81.4
2026-07-01 00:28:00,Night,HT2026070100029,1,IS2062,4.41,4.3,69.11,0.51,1553.5,1546.2,1014,160,197,900,220,9.16,24.85,24,Electrical,Hydraulic Pressure Low,Medium,Maintenance,Healthy,91,99.94,96.51,88.52
2026-07-01 00:29:00,Night,HT2026070100030,1,E350,4.09,4.3,74.75,-1.16,1555.3,1539.9,1056,184.2,195,1600,250,10.93,23.62,0,None,None,None,Running,Warning,70,97.85,98.94,93.77
2026-07-01 00:30:00,Night,HT2026070100031,1,API X60,3.95,4.3,74.02,-0.51,1551.4,1545.7,1114,185.1,230,1600,200,8.67,18.9,24,Mechanical,Water Flow Low,Medium,Idle,Warning,99,96.4,98.57,80.37
2026-07-01 00:31:00,Night,HT2026070100032,1,E350,4.73,4.3,72.53,0.03,1553.5,1537.7,1288,150.3,198,1600,200,11.97,34.88,0,None,None,None,Running,Healthy,67,94.49,98.89,88.52
2026-07-01 00:32:00,Night,HT2026070100033,2,IS2062,4.43,4.3,74.06,-0.3,1563.2,1539.4,1520,157.5,200,1300,250,8.61,31.95,0,None,None,None,Running,Fault,97,93.35,98.7,91.93
2026-07-01 00:33:00,Night,HT2026070100034,2,E350,4.94,4.3,70.29,-0.59,1559.6,1535.4,903,157.8,223,1500,230,11.77,18.24,0,None,None,None,Running,Fault,82,95.61,98.54,80.03
2026-07-01 00:34:00,Night,HT2026070100035,1,SAE1008,5.12,4.3,70.72,1.09,1553.8,1549.4,919,182.2,226,900,200,11.34,34.84,0,None,None,None,Running,Fault,18,99.18,96.59,81.73
2026-07-01 00:35:00,Night,HT2026070100036,2,E250,4.17,4.3,72.06,-0.46,1564.1,1554,1490,153.3,234,900,250,8.02,30.43,0,None,None,None,Running,Fault,7,98.22,95.12,86.02
2026-07-01 00:36:00,Night,HT2026070100037,1,API X60,4.29,4.3,68,0.34,1546.1,1549,1188,177.6,214,1100,220,9.28,19.85,0,None,None,None,Running,Warning,57,98.95,96.66,86.92
2026-07-01 00:37:00,Night,HT2026070100038,1,IS2062,5.09,4.3,68.65,0.55,1550.5,1544.7,923,189.7,238,900,200,11.51,30.39,0,None,None,None,Running,Warning,22,98.32,98.54,94.42
2026-07-01 00:38:00,Night,HT2026070100039,1,SAE1008,3.95,4.3,74.89,1.39,1560.9,1553.5,1565,164.1,192,1100,250,8.03,31.12,0,None,None,None,Running,Healthy,14,98.29,98.15,82.7
2026-07-01 00:39:00,Night,HT2026070100040,2,SAE1008,4.89,4.3,72.85,2,1555.8,1540.8,920,160.6,240,1300,250,9.28,22.19,0,None,None,None,Running,Warning,32,93.36,96.61,84.51
2026-07-01 00:40:00,Night,HT2026070100041,2,API X60,4.22,4.3,70.32,0.77,1560.1,1548.9,1530,154.2,207,1100,200,11.76,29.53,0,None,None,None,Running,Healthy,6,94.55,95.08,87.54
2026-07-01 00:41:00,Night,HT2026070100042,2,E350,4.72,4.3,68.33,1.95,1560.6,1553.8,1025,182.6,196,1100,230,10.39,19.98,0,None,None,None,Running,Warning,34,93.33,95.6,82.2
2026-07-01 00:42:00,Night,HT2026070100043,2,E250,4.68,4.3,72.16,1.86,1558.1,1546,956,165.8,217,1100,250,9.92,21.07,0,None,None,None,Running,Healthy,86,98.49,96.82,82.23
2026-07-01 00:43:00,Night,HT2026070100044,2,SAE1008,3.98,4.3,70.46,1.11,1550.4,1553.8,1062,170.7,189,1600,250,11.59,32.88,0,None,None,None,Running,Healthy,90,95.69,96.79,88.49
2026-07-01 00:44:00,Night,HT2026070100045,1,IS2062,4.86,4.3,74.14,-1.97,1561.4,1544.6,1380,170.7,215,1100,200,9.92,34.34,0,None,None,None,Running,Warning,44,99.3,98.59,83.98
2026-07-01 00:45:00,Night,HT2026070100046,2,SAE1008,4.8,4.3,74.95,-0.54,1555.9,1548.6,1175,164,229,1500,200,8.36,21.47,0,None,None,None,Running,Warning,24,93.46,96.36,92.3
2026-07-01 00:46:00,Night,HT2026070100047,2,SAE1008,4.26,4.3,69.92,-1.25,1557.1,1548.9,1335,187.5,203,900,250,11.1,20.93,0,None,None,None,Running,Healthy,91,92.43,96.33,81.94
2026-07-01 00:47:00,Night,HT2026070100048,2,IS2062,4.67,4.3,69.84,-1.38,1548.7,1536.3,1044,150.5,231,1500,220,10.14,27.61,0,None,None,None,Running,Healthy,98,93.77,95.77,94.52
2026-07-01 00:48:00,Night,HT2026070100049,1,API X60,5.03,4.3,73.79,-1.66,1550.8,1546.1,1262,189.9,236,1600,200,10.06,22.52,0,None,Speed Drop,Low,Running,Warning,90,97.76,96.89,80.78
2026-07-01 00:49:00,Night,HT2026070100050,1,SAE1008,3.98,4.3,71.54,0.08,1551.1,1545.9,1023,158.5,184,900,200,9.57,24.48,0,None,None,None,Running,Healthy,81,98.88,95.71,86.5
2026-07-01 00:50:00,Night,HT2026070100051,2,SAE1008,4.81,4.3,69.79,0.16,1559,1554.1,1086,152.4,215,1300,220,9.67,18.18,0,None,None,None,Running,Fault,10,98.88,95.58,87.23
2026-07-01 00:51:00,Night,HT2026070100052,1,API X60,5.16,4.3,73.7,0.41,1560.4,1550.2,1415,180.3,226,1300,200,11.21,25.64,0,None,None,None,Running,Warning,100,90.99,98,87.36
2026-07-01 00:52:00,Night,HT2026070100053,1,IS2062,5.19,4.3,72.88,-1.57,1550.7,1553.2,976,153.1,189,900,220,9.26,27.61,0,None,None,None,Running,Warning,63,99.71,97.4,93.09
2026-07-01 00:53:00,Night,HT2026070100054,2,SAE1008,4.52,4.3,70.13,1.95,1548.3,1553.6,1057,152.9,210,1500,230,11.34,22,0,None,None,None,Running,Fault,4,98.59,96.61,84.12
2026-07-01 00:54:00,Night,HT2026070100055,2,API X60,5.04,4.3,74.86,-1.34,1564.4,1541.1,1065,174,207,900,220,11.73,25.12,0,None,None,None,Running,Healthy,68,99.47,98.96,91.59
2026-07-01 00:55:00,Night,HT2026070100056,2,SAE1008,4.36,4.3,69.18,1.21,1547.3,1550.2,1403,151,222,1300,230,9.2,20.45,0,None,None,None,Running,Warning,74,94.98,95.16,93.87
2026-07-01 00:56:00,Night,HT2026070100057,2,E350,5.04,4.3,74.16,-1.08,1561.5,1544.2,1211,162.6,214,1600,250,9.35,27.14,0,None,None,None,Running,Warning,64,96.36,96.26,84.59
2026-07-01 00:57:00,Night,HT2026070100058,1,E250,4.15,4.3,74.84,0.79,1548.1,1544.8,1398,187.4,183,1600,220,10.76,27.87,20,Hydraulic,Mold Level High,Low,Maintenance,Healthy,18,90.73,98.41,86.05
2026-07-01 00:58:00,Night,HT2026070100059,1,IS2062,5.1,4.3,70.67,-0.44,1562,1540.1,1027,186.5,212,1600,220,9.96,21.11,0,None,None,None,Running,Fault,44,90.07,99.46,85.82
2026-07-01 00:59:00,Night,HT2026070100060,1,IS2062,4.97,4.3,71.3,-0.88,1554.7,1547.9,1469,166.3,207,1300,220,11.73,27.01,11,Hydraulic,Speed Drop,High,Fault,Healthy,19,93.88,97.07,87.85
2026-07-01 01:00:00,Night,HT2026070100061,1,IS2062,4.11,4.3,71.36,-1.1,1546.1,1548.2,1402,178.6,201,900,220,9.25,18.59,0,None,None,None,Running,Warning,87,97.33,95.13,92.02
2026-07-01 01:01:00,Night,HT2026070100062,2,E250,4.56,4.3,72.57,-0.27,1556.1,1546.9,1531,169.1,234,900,230,9.87,24.48,0,None,None,None,Running,Fault,5,98.19,97.87,87.97
2026-07-01 01:02:00,Night,HT2026070100063,2,E250,5.09,4.3,71.56,-0.32,1554.6,1544.6,1067,152.5,226,900,220,11.48,23.81,0,None,None,None,Running,Warning,12,92.65,97.83,84.62
2026-07-01 01:03:00,Night,HT2026070100064,1,SAE1008,3.99,4.3,71.45,1.35,1548.4,1535.2,1323,182.5,210,1500,230,10.88,22.8,0,None,None,None,Running,Healthy,13,93.93,98.26,92.96
2026-07-01 01:04:00,Night,HT2026070100065,1,API X60,4.59,4.3,71.28,0.76,1547.4,1539.3,1162,166.2,228,1500,250,9.22,26.29,0,None,None,None,Running,Fault,9,91.89,99.42,86.79
2026-07-01 01:05:00,Night,HT2026070100066,2,E250,4.7,4.3,72.61,0.97,1563.9,1548.7,1325,173.5,192,1100,220,8.89,25.69,0,None,None,None,Running,Warning,80,99.6,97.5,93.43
2026-07-01 01:06:00,Night,HT2026070100067,2,SAE1008,4.27,4.3,70.31,-1.85,1558.3,1553,1084,185.5,239,1500,230,8.67,19.28,0,None,None,None,Running,Fault,6,92.04,99.11,91.72
2026-07-01 01:07:00,Night,HT2026070100068,1,E350,5.07,4.3,68.67,0.93,1554.7,1554.7,955,151.4,192,1300,230,10.17,28.55,0,None,None,None,Running,Warning,93,94.55,95.23,85.63
2026-07-01 01:08:00,Night,HT2026070100069,1,E350,3.92,4.3,74.53,-0.1,1555.4,1550,998,162.1,202,900,200,10.29,25.64,0,None,None,None,Running,Warning,24,98.74,96.57,87.9
2026-07-01 01:09:00,Night,HT2026070100070,1,E350,5.2,4.3,73.01,1.77,1547.9,1539.1,994,189,203,900,220,10.23,32.16,0,None,None,None,Running,Warning,20,94.41,98.07,89.94
2026-07-01 01:10:00,Night,HT2026070100071,1,E350,4.05,4.3,70.39,-1.19,1560.4,1538.9,1597,177.2,240,1600,250,9.31,26.58,0,None,None,None,Running,Healthy,78,97.28,99.48,88.39
2026-07-01 01:11:00,Night,HT2026070100072,1,SAE1008,5.01,4.3,72.85,-0.62,1550.1,1538.9,1345,172,201,1100,220,11.15,23.97,0,None,None,None,Running,Healthy,76,95.43,98.39,88.49
2026-07-01 01:12:00,Night,HT2026070100073,2,E350,4.64,4.3,70.49,0.97,1565,1549,1323,187.9,230,900,200,10.95,33.82,0,None,Hydraulic Pressure Low,Low,Running,Warning,32,92.14,97.61,92.03
2026-07-01 01:13:00,Night,HT2026070100074,1,E350,4.64,4.3,69.71,-1.86,1559.1,1537.3,1321,164,221,1300,250,8.45,33.74,0,None,None,None,Running,Warning,88,95.47,99.35,94.56
2026-07-01 01:14:00,Night,HT2026070100075,2,E350,3.8,4.3,71.65,-0.21,1558.2,1549.5,1132,160.5,181,1100,250,8.03,29.18,0,None,None,None,Running,Fault,46,90.49,97.62,83.03
2026-07-01 01:15:00,Night,HT2026070100076,1,SAE1008,3.87,4.3,70.3,0.94,1545.5,1549.6,1239,180.9,195,900,200,8.84,27.8,0,None,None,None,Running,Fault,45,92.89,96,94.37
2026-07-01 01:16:00,Night,HT2026070100077,2,E250,4.24,4.3,70.54,1.74,1554,1542.4,1563,157.1,215,1500,230,11.27,26.29,0,None,None,None,Running,Fault,33,96.96,99.5,81.35
2026-07-01 01:17:00,Night,HT2026070100078,1,IS2062,5.04,4.3,74.21,-1.77,1563.4,1537.9,964,169.6,187,900,250,9.67,19.12,0,None,None,None,Running,Warning,66,92.34,97.47,88.41
2026-07-01 01:18:00,Night,HT2026070100079,1,API X60,5.11,4.3,69.89,-0.79,1545.3,1547.1,1059,161.8,191,1300,250,8.89,21.16,0,None,None,None,Running,Fault,94,93.76,96.63,84.84
2026-07-01 01:19:00,Night,HT2026070100080,2,API X60,4.84,4.3,68.22,-0.11,1560,1537.7,1007,156.9,220,1500,230,10.88,32.79,0,None,None,None,Running,Warning,32,97.72,95.17,86.79
2026-07-01 01:20:00,Night,HT2026070100081,2,E350,4.36,4.3,68.61,0.8,1562.5,1537.6,1188,167.3,182,1600,230,11.49,33.12,16,Hydraulic,Mold Level Low,Low,Maintenance,Warning,29,93.65,97.91,94.65
2026-07-01 01:21:00,Night,HT2026070100082,2,E350,4.21,4.3,72.66,-0.02,1550.3,1536.4,1263,182.1,211,1100,200,10.55,26,0,None,None,None,Running,Warning,4,90.34,97.19,90.98
2026-07-01 01:22:00,Night,HT2026070100083,1,IS2062,3.81,4.3,73.13,-1.56,1550.6,1542.9,916,160.7,212,1100,220,10.9,23.94,0,None,None,None,Running,Healthy,63,95.73,97.35,89.17
2026-07-01 01:23:00,Night,HT2026070100084,2,IS2062,4.68,4.3,73.56,0.51,1563.7,1542.6,1353,174.9,225,1100,250,9.67,19.21,28,Planned,Water Flow Low,High,Maintenance,Healthy,48,99.23,99.33,84.37
2026-07-01 01:24:00,Night,HT2026070100085,2,E250,3.86,4.3,68.37,-0.69,1546.2,1550.3,1010,167.9,217,1100,250,9.08,29.88,0,None,None,None,Running,Fault,1,98.01,98.02,81.13
2026-07-01 01:25:00,Night,HT2026070100086,1,API X60,4.34,4.3,72.39,-0.89,1552.3,1538.4,1031,165.2,194,1500,230,8.84,18.05,0,None,None,None,Running,Fault,44,93.57,96.98,87.98
2026-07-01 01:26:00,Night,HT2026070100087,1,API X60,4.5,4.3,73.14,-1.63,1555.7,1547.8,1001,150.7,196,1300,200,10.44,20.81,0,None,Hydraulic Pressure Low,Medium,Running,Healthy,0,99.66,95.01,81.85
2026-07-01 01:27:00,Night,HT2026070100088,1,SAE1008,5.04,4.3,73.63,-1.45,1545.5,1538.9,1589,177.9,191,1100,220,11.23,22.56,5,Hydraulic,Speed Drop,Medium,Maintenance,Healthy,25,99.3,99.05,88.63
2026-07-01 01:28:00,Night,HT2026070100089,2,E350,4.46,4.3,74.69,-0.94,1552.3,1554.6,1312,158.5,186,1500,200,10.73,33.46,0,None,None,None,Running,Healthy,89,93.78,96.02,82.58
2026-07-01 01:29:00,Night,HT2026070100090,2,SAE1008,4.43,4.3,68.14,0.63,1547.8,1536.6,1594,158.7,233,1600,220,10.22,27.17,0,None,Mold Level High,Low,Running,Healthy,47,90.22,97.46,83.94
2026-07-01 01:30:00,Night,HT2026070100091,1,E350,5.06,4.3,72.79,0.67,1546.8,1535.2,1589,154.2,211,1600,230,11.68,20.73,0,None,None,None,Running,Healthy,64,90.4,97.13,89.2
2026-07-01 01:31:00,Night,HT2026070100092,1,IS2062,3.91,4.3,70.51,0.08,1557.7,1543.7,1021,177.6,229,1100,250,9.46,20.7,0,None,None,None,Running,Fault,54,95.41,97.38,86.73
2026-07-01 01:32:00,Night,HT2026070100093,2,E250,4.6,4.3,73.46,1.51,1553.7,1546.1,1078,187.7,234,1100,250,8.4,31.04,20,Process,Mold Level Low,Medium,Idle,Warning,36,91.31,97.16,82.24
2026-07-01 01:33:00,Night,HT2026070100094,2,E250,4.42,4.3,72,-1.65,1545.5,1545,1034,159.3,190,1500,200,9.91,34.59,28,Hydraulic,Water Flow Low,High,Fault,Fault,68,96.39,98.37,91.6
2026-07-01 01:34:00,Night,HT2026070100095,2,SAE1008,4.21,4.3,74.26,0.98,1554,1550.6,1074,158.7,206,1300,220,11.82,30.62,0,None,None,None,Running,Warning,75,94.97,98.03,84.36
2026-07-01 01:35:00,Night,HT2026070100096,2,E350,4.55,4.3,71.73,-0.68,1551.8,1550.5,1189,161.5,185,1100,220,11.45,22.76,0,None,None,None,Running,Fault,0,96.13,98.62,88.71
2026-07-01 01:36:00,Night,HT2026070100097,2,E250,4.73,4.3,69.29,-0.86,1561.1,1536.3,1212,166.8,190,1300,200,11.8,30.53,0,None,None,None,Running,Fault,86,98.45,97.4,82.84
2026-07-01 01:37:00,Night,HT2026070100098,1,IS2062,4.04,4.3,70.33,1.11,1560.9,1537.2,1588,182.9,224,900,230,10.12,24.65,0,None,Mold Level Low,Medium,Running,Fault,27,96.57,95.41,80.53
2026-07-01 01:38:00,Night,HT2026070100099,2,SAE1008,4.17,4.3,70.07,-1.27,1554.3,1547.6,1570,159.3,228,1300,230,8.8,28.55,0,None,None,None,Running,Warning,65,95.13,96.05,80.65
2026-07-01 01:39:00,Night,HT2026070100100,1,E350,4.8,4.3,74.07,-0.75,1559,1550.9,1070,164.1,230,1100,200,11.6,32.69,0,None,None,None,Running,Warning,22,90.26,95.9,86.37
2026-07-01 01:40:00,Night,HT2026070100101,2,IS2062,3.87,4.3,72.24,1.11,1556.9,1543.1,995,174.4,215,1100,220,10.01,19.55,0,None,Mold Level Low,Medium,Running,Healthy,11,98.47,98.05,93.27
2026-07-01 01:41:00,Night,HT2026070100102,2,API X60,5.09,4.3,69.42,-0.96,1562.3,1548,1347,180.7,184,1100,220,10.25,23.98,30,Hydraulic,Hydraulic Pressure Low,Medium,Fault,Healthy,58,93.31,95.84,94.03
2026-07-01 01:42:00,Night,HT2026070100103,1,IS2062,4.7,4.3,70.63,-1.23,1561,1544.2,983,161.1,239,1500,200,10.91,30,0,None,None,None,Running,Warning,81,90.4,98.12,80.47
2026-07-01 01:43:00,Night,HT2026070100104,1,E250,5.08,4.3,68.28,-0.4,1564,1545.6,1524,170.6,216,1600,250,10.72,28.09,28,Mechanical,Speed Drop,Medium,Maintenance,Fault,72,91.31,97.02,89.37
2026-07-01 01:44:00,Night,HT2026070100105,2,E250,3.83,4.3,71.55,-1.48,1555.3,1550.4,1241,173.1,224,1600,200,11.61,28.7,0,None,None,None,Running,Warning,80,96.18,97.23,92.94
2026-07-01 01:45:00,Night,HT2026070100106,2,IS2062,5.13,4.3,69.97,0.68,1545.3,1538.5,905,167.4,237,1500,250,10.34,29.6,0,None,None,None,Running,Healthy,97,90.24,98.38,90.55
2026-07-01 01:46:00,Night,HT2026070100107,1,API X60,4.94,4.3,69.43,1.74,1554.9,1552.6,992,175.1,201,1500,200,8.56,19.31,0,None,None,None,Running,Fault,46,93.93,98.33,93.81
2026-07-01 01:47:00,Night,HT2026070100108,2,SAE1008,3.88,4.3,71.58,1.96,1558.8,1539.6,928,154.4,229,900,200,11.11,18.52,0,None,None,None,Running,Fault,72,99.23,98.71,80.67
2026-07-01 01:48:00,Night,HT2026070100109,1,IS2062,3.9,4.3,68.25,1.41,1558.5,1539,1161,180.6,215,1500,230,11.43,31.34,0,None,None,None,Running,Warning,51,95.49,99.08,86.71
2026-07-01 01:49:00,Night,HT2026070100110,2,E350,4.37,4.3,72.08,1.62,1562.9,1544,1174,159.7,197,1500,250,8.09,24.52,0,None,None,None,Running,Fault,47,91.32,97.06,82.8
2026-07-01 01:50:00,Night,HT2026070100111,1,E250,3.89,4.3,68.32,-1.69,1552.6,1536.4,1418,152.7,211,1100,250,9.46,22.22,23,Planned,Mold Level Low,Low,Fault,Healthy,60,98.91,97.7,85.97
2026-07-01 01:51:00,Night,HT2026070100112,2,SAE1008,4.11,4.3,73.93,1.65,1548.3,1551.5,1457,171,192,1600,230,11.99,25.02,0,None,None,None,Running,Healthy,79,97.94,96.14,85.98
2026-07-01 01:52:00,Night,HT2026070100113,1,E250,4.09,4.3,71.06,0.68,1556.1,1537.1,1468,155.6,214,900,230,10.65,29.31,0,None,None,None,Running,Healthy,93,97.27,97.54,91.59
2026-07-01 01:53:00,Night,HT2026070100114,1,E250,4.6,4.3,68.22,-1.42,1549.3,1548.2,1032,180.3,189,1500,230,8.19,24.6,0,None,None,None,Running,Healthy,3,94.82,96.7,81.28
2026-07-01 01:54:00,Night,HT2026070100115,1,E250,4.85,4.3,70.1,1.2,1552.3,1547.3,1519,165.1,218,1100,250,11.34,25.15,0,None,None,None,Running,Healthy,45,97.3,98.97,85.82
2026-07-01 01:55:00,Night,HT2026070100116,1,E350,4.27,4.3,68.47,1.98,1559.1,1545.9,1228,183.9,236,1300,200,9.03,23.36,0,None,None,None,Running,Healthy,98,97.25,96.13,84.73
2026-07-01 01:56:00,Night,HT2026070100117,1,IS2062,4.79,4.3,68.5,0.61,1546.3,1553.7,1256,165.4,208,1100,230,10.48,25.51,0,None,None,None,Running,Fault,100,98.93,97.9,81.83
2026-07-01 01:57:00,Night,HT2026070100118,2,E350,5.18,4.3,68.77,-1.87,1554.8,1549,1581,183.2,194,1300,200,8.16,26.59,6,Planned,Mold Level Low,High,Idle,Healthy,50,96.73,96.92,86.89
2026-07-01 01:58:00,Night,HT2026070100119,2,E250,4.97,4.3,73.78,-0.29,1547.6,1548.5,1142,187.1,226,1600,230,10.42,31.65,0,None,None,None,Running,Warning,46,99,96.19,81.95
2026-07-01 01:59:00,Night,HT2026070100120,1,API X60,5.01,4.3,68.39,0.14,1554.3,1543.6,1381,154.2,193,1600,250,11.5,28.31,0,None,None,None,Running,Healthy,31,95.84,96.71,85.95
2026-07-01 02:00:00,Night,HT2026070100121,2,API X60,4.98,4.3,73.08,1.35,1553.7,1551.9,1113,160.7,186,1500,200,11.25,25.35,0,None,Hydraulic Pressure Low,Medium,Running,Healthy,75,93.29,96.91,81.24
2026-07-01 02:01:00,Night,HT2026070100122,1,E350,4.63,4.3,71.94,0.46,1548,1548.4,1278,177,224,900,230,9.29,19.3,0,None,Mold Level High,Medium,Running,Fault,97,91.64,97.2,90.04
2026-07-01 02:02:00,Night,HT2026070100123,1,E350,4.88,4.3,70.52,-0.19,1561,1542.9,1161,156.3,239,1300,250,10.39,24.78,0,None,None,None,Running,Fault,43,90.02,96.12,93.26
